,time,application,angry,disgust,fear,happy,sad,surprise
291,2022_11_19_15_58_07,Microsoft Edge,0.04,0.0,0.23,0.0,0.73,0.0
292,2022_11_19_15_58_07,Microsoft Edge,0.06,0.0,0.25,0.0,0.69,0.0
293,2022_11_19_15_58_07,Microsoft Edge,0.14,0.0,0.13,0.02,0.7,0.02
294,2022_11_19_15_58_08,Microsoft Edge,0.05,0.0,0.04,0.0,0.91,0.0
295,2022_11_19_15_58_08,Microsoft Edge,0.03,0.0,0.09,0.0,0.85,0.03
296,2022_11_19_15_58_08,Microsoft Edge,0.03,0.0,0.08,0.0,0.87,0.02
297,2022_11_19_15_58_08,Microsoft Edge,0.03,0.0,0.09,0.0,0.86,0.01
298,2022_11_19_15_58_09,Microsoft Edge,0.05,0.0,0.11,0.0,0.82,0.03
299,2022_11_19_15_58_09,Microsoft Edge,0.02,0.0,0.02,0.0,0.96,0.0
300,2022_11_19_15_58_09,Microsoft Edge,0.06,0.0,0.05,0.0,0.85,0.05
301,2022_11_19_15_58_10,Microsoft Edge,0.12,0.0,0.06,0.0,0.81,0.0
302,2022_11_19_15_58_10,Microsoft Edge,0.02,0.0,0.33,0.0,0.46,0.19
303,2022_11_19_15_58_10,Terminal,0.09,0.0,0.27,0.0,0.55,0.09
304,2022_11_19_15_58_10,Terminal,0.04,0.0,0.19,0.0,0.77,0.0
305,2022_11_19_15_58_11,Terminal,0.05,0.0,0.07,0.03,0.75,0.1
306,2022_11_19_15_58_11,Code,0.19,0.0,0.15,0.02,0.65,0.0
307,2022_11_19_15_58_12,Code,0.11,0.0,0.23,0.04,0.59,0.04
308,2022_11_19_15_58_12,Code,0.18,0.0,0.08,0.01,0.73,0.0
309,2022_11_19_15_58_12,Code,0.22,0.0,0.11,0.02,0.66,0.0
310,2022_11_19_15_58_12,Code,0.07,0.0,0.34,0.0,0.56,0.02
311,2022_11_19_15_58_13,Code,0.16,0.0,0.34,0.0,0.48,0.02
312,2022_11_19_15_58_13,Code,0.11,0.0,0.34,0.0,0.51,0.05
313,2022_11_19_15_58_13,Code,0.09,0.0,0.27,0.0,0.63,0.01
314,2022_11_19_15_58_13,Code,0.13,0.0,0.23,0.0,0.62,0.01
