,time,application,angry,disgust,fear,happy,sad,surprise
821,2022_07_24_17_59_31,Stocks,0.71,0.0,0.12,0.02,0.02,0.12
822,2022_07_24_17_59_31,Stocks,0.78,0.0,0.12,0.02,0.02,0.07
823,2022_07_24_17_59_31,Stocks,0.6,0.0,0.26,0.02,0.05,0.07
824,2022_07_24_17_59_31,Stocks,0.42,0.0,0.03,0.37,0.17,0.0
825,2022_07_24_17_59_32,Stocks,0.01,0.0,0.0,0.98,0.01,0.0
826,2022_07_24_17_59_32,Stocks,0.01,0.0,0.0,0.98,0.01,0.0
827,2022_07_24_17_59_32,Stocks,0.08,0.0,0.1,0.66,0.16,0.0
828,2022_07_24_17_59_33,Stocks,0.01,0.0,0.01,0.97,0.01,0.0
829,2022_07_24_17_59_33,Stocks,0.0,0.0,0.0,0.99,0.0,0.01
830,2022_07_24_17_59_33,Stocks,0.0,0.0,0.0,1.0,0.0,0.0
831,2022_07_24_17_59_34,Stocks,0.0,0.02,0.0,0.91,0.0,0.07
832,2022_07_24_17_59_34,Stocks,0.03,0.03,0.01,0.78,0.0,0.15
833,2022_07_24_17_59_34,Stocks,0.15,0.03,0.12,0.48,0.06,0.15
834,2022_07_24_17_59_35,Stocks,0.24,0.01,0.24,0.03,0.37,0.12
835,2022_07_24_17_59_35,Stocks,0.18,0.0,0.25,0.07,0.38,0.11
836,2022_07_24_17_59_35,Stocks,0.22,0.0,0.24,0.04,0.4,0.1
837,2022_07_24_17_59_36,Stocks,0.3,0.02,0.27,0.06,0.22,0.14
838,2022_07_24_17_59_36,Stocks,0.3,0.05,0.27,0.02,0.18,0.18
839,2022_07_24_17_59_36,Stocks,0.62,0.07,0.16,0.0,0.1,0.05
840,2022_07_24_17_59_37,Stocks,0.21,0.0,0.51,0.02,0.25,0.02
841,2022_07_24_17_59_37,Stocks,0.01,0.0,0.0,0.98,0.01,0.0
842,2022_07_24_17_59_38,Stocks,0.0,0.0,0.0,1.0,0.0,0.0
843,2022_07_24_17_59_38,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
844,2022_07_24_17_59_38,Stocks,0.0,0.0,0.0,0.98,0.02,0.0
845,2022_07_24_17_59_39,Stocks,0.0,0.0,0.0,0.96,0.04,0.0
846,2022_07_24_17_59_39,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
847,2022_07_24_17_59_39,Stocks,0.0,0.0,0.0,0.96,0.04,0.0
848,2022_07_24_17_59_40,Stocks,0.0,0.0,0.0,0.97,0.03,0.0
849,2022_07_24_17_59_40,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
850,2022_07_24_17_59_40,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
851,2022_07_24_17_59_41,Stocks,0.2,0.0,0.21,0.18,0.38,0.02
852,2022_07_24_17_59_41,Stocks,0.12,0.0,0.1,0.11,0.66,0.0
853,2022_07_24_17_59_41,Stocks,0.15,0.0,0.04,0.69,0.05,0.07
854,2022_07_24_17_59_42,Stocks,0.11,0.0,0.07,0.4,0.42,0.0
855,2022_07_24_17_59_42,Stocks,0.26,0.0,0.18,0.09,0.45,0.02
856,2022_07_24_17_59_43,Stocks,0.08,0.0,0.13,0.19,0.59,0.0
857,2022_07_24_17_59_43,Stocks,0.04,0.0,0.05,0.67,0.19,0.04
858,2022_07_24_17_59_43,Stocks,0.13,0.0,0.2,0.09,0.57,0.0
859,2022_07_24_17_59_44,Stocks,0.0,0.0,0.0,1.0,0.0,0.0
860,2022_07_24_17_59_49,Stocks,0.07,0.01,0.18,0.16,0.56,0.01
861,2022_07_24_17_59_49,Stocks,0.08,0.0,0.02,0.86,0.04,0.0
862,2022_07_24_17_59_49,Stocks,0.0,0.0,0.0,0.98,0.02,0.0
863,2022_07_24_17_59_49,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
864,2022_07_24_17_59_50,Stocks,0.19,0.0,0.27,0.12,0.4,0.01
865,2022_07_24_17_59_50,Stocks,0.01,0.0,0.0,0.89,0.1,0.0
866,2022_07_24_17_59_50,Stocks,0.18,0.0,0.17,0.09,0.55,0.01
867,2022_07_24_17_59_51,Stocks,0.15,0.0,0.14,0.09,0.62,0.0
868,2022_07_24_17_59_51,Stocks,0.19,0.0,0.15,0.05,0.6,0.01
869,2022_07_24_17_59_51,Stocks,0.02,0.0,0.0,0.96,0.02,0.0
870,2022_07_24_17_59_52,Stocks,0.14,0.0,0.12,0.28,0.45,0.0
